time,SST (degrees Celsius),standard error (degrees Celsius)
12/06/2021 12.00,13.027,0.31
13/06/2021 12.00,12.913,0.3
14/06/2021 12.00,13.004,0.3
15/06/2021 12.00,13.144,0.3
16/06/2021 12.00,13.274,0.32
17/06/2021 12.00,13.376,0.3
18/06/2021 12.00,13.356,0.32
19/06/2021 12.00,13.355,0.3
20/06/2021 12.00,13.147,0.3
21/06/2021 12.00,13.138,0.3
22/06/2021 12.00,13.307,0.3
23/06/2021 12.00,13.459,0.3
24/06/2021 12.00,13.479,0.3
25/06/2021 12.00,13.77,0.3
26/06/2021 12.00,13.39,0.31
27/06/2021 12.00,13.297,0.3
28/06/2021 12.00,13.249,0.33
29/06/2021 12.00,13.442,0.3
30/06/2021 12.00,13.442,0.3
01/07/2021 12.00,13.414,0.31
02/07/2021 12.00,14.944,0.32
03/07/2021 12.00,14.73,0.3
04/07/2021 12.00,14.883,0.33
05/07/2021 12.00,15.066,0.3
06/07/2021 12.00,15.068,0.3
07/07/2021 12.00,14.74,0.36
08/07/2021 12.00,15.418,0.3
09/07/2021 12.00,15.408,0.302
10/07/2021 12.00,15.334,0.31
11/07/2021 12.00,15.344,0.3
12/07/2021 12.00,15.325,0.3
13/07/2021 12.00,15.462,0.302
14/07/2021 12.00,15.274,0.3
15/07/2021 12.00,15.194,0.3
16/07/2021 12.00,15.165,0.31
17/07/2021 12.00,15.215,0.3
18/07/2021 12.00,15.416,0.32
19/07/2021 12.00,15.224,0.31
20/07/2021 12.00,15.935,0.3
21/07/2021 12.00,15.859,0.3
22/07/2021 12.00,15.869,0.3
23/07/2021 12.00,15.648,0.3
24/07/2021 12.00,15.907,0.31
25/07/2021 12.00,16.034,0.3
26/07/2021 12.00,16.162,0.3
27/07/2021 12.00,16.425,0.3
28/07/2021 12.00,16.704,0.31
29/07/2021 12.00,16.762,0.3
30/07/2021 12.00,16.872,0.3
31/07/2021 12.00,16.811,0.35
01/08/2021 12.00,16.652,0.3
02/08/2021 12.00,16.406,0.31
03/08/2021 12.00,16.409,0.3
04/08/2021 12.00,16.39,0.32
05/08/2021 12.00,16.342,0.3
06/08/2021 12.00,16.449,0.3
07/08/2021 12.00,16.45,0.3
08/08/2021 12.00,16.463,0.3
09/08/2021 12.00,16.848,0.3
10/08/2021 12.00,16.748,0.3
11/08/2021 12.00,16.842,0.3
12/08/2021 12.00,16.96,0.31
13/08/2021 12.00,16.922,0.32
14/08/2021 12.00,16.711,0.3
15/08/2021 12.00,16.709,0.32
16/08/2021 12.00,16.001,0.3
17/08/2021 12.00,16.049,0.32
18/08/2021 12.00,16.047,0.3
